iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,20,1e-06,0.000165095,5.92092e-05,0.75,1.2e-06,0.00014043,7.24207e-05
1,20,1e-06,0.000165095,5.92092e-05,1,1.2e-06,0.000140413,7.24058e-05
1,20,1e-06,0.000165095,5.92092e-05,1.1,1.2e-06,0.000140407,7.24008e-05
2,20,9e-07,0.000164989,5.91406e-05,0.75,1.08e-06,0.000163967,6.49452e-05
2,20,9e-07,0.000164989,5.91406e-05,1,1.08e-06,0.000163943,6.49291e-05
2,20,9e-07,0.000164989,5.91406e-05,1.1,1.08e-06,0.000163933,6.49223e-05
3,20,8.1e-07,0.000164882,5.90712e-05,0.75,9.72e-07,0.000162204,5.42382e-05
3,20,8.1e-07,0.000164882,5.90712e-05,1,9.72e-07,0.000162184,5.42236e-05
3,20,8.1e-07,0.000164882,5.90712e-05,1.1,9.72e-07,0.000162176,5.4218e-05
4,20,7.29e-07,0.000164775,5.90031e-05,0.75,8.748e-07,0.000167049,6.04128e-05
4,20,7.29e-07,0.000164775,5.90031e-05,1,8.748e-07,0.000167022,6.03965e-05
4,20,7.29e-07,0.000164775,5.90031e-05,1.1,8.748e-07,0.000167011,6.03897e-05
5,20,6.561e-07,0.000164669,5.89348e-05,0.75,7.8732e-07,0.000156811,6.83205e-05
5,20,6.561e-07,0.000164669,5.89348e-05,1,7.8732e-07,0.000156794,6.8308e-05
5,20,6.561e-07,0.000164669,5.89348e-05,1.1,7.8732e-07,0.000156787,6.83028e-05
6,20,5.9049e-07,0.000164563,5.88672e-05,0.75,7.08588e-07,0.0001396,6.6989e-05
6,20,5.9049e-07,0.000164563,5.88672e-05,1,7.08588e-07,0.000139578,6.69695e-05
6,20,5.9049e-07,0.000164563,5.88672e-05,1.1,7.08588e-07,0.00013957,6.69621e-05
7,20,5.31441e-07,0.000164456,5.87998e-05,0.75,6.37729e-07,0.000180213,5.43967e-05
7,20,5.31441e-07,0.000164456,5.87998e-05,1,6.37729e-07,0.00018019,5.4387e-05
7,20,5.31441e-07,0.000164456,5.87998e-05,1.1,6.37729e-07,0.000180181,5.43834e-05
8,20,4.78297e-07,0.000164446,5.87933e-05,0.75,5.73956e-07,0.000153927,6.05912e-05
8,20,4.78297e-07,0.000164446,5.87933e-05,1,5.73956e-07,0.000153907,6.05761e-05
8,20,4.78297e-07,0.000164446,5.87933e-05,1.1,5.73956e-07,0.000153899,6.05702e-05
9,20,4.30467e-07,0.000164341,5.87267e-05,0.75,5.16561e-07,0.000189805,4.66411e-05
9,20,4.30467e-07,0.000164341,5.87267e-05,1,5.16561e-07,0.000189772,4.66299e-05
9,20,4.30467e-07,0.000164341,5.87267e-05,1.1,5.16561e-07,0.000189759,4.66252e-05
10,20,3.8742e-07,0.000164327,5.87165e-05,0.75,4.64905e-07,0.000150815,6.51221e-05
10,20,3.8742e-07,0.000164327,5.87165e-05,1,4.64905e-07,0.000150797,6.51092e-05
10,20,3.8742e-07,0.000164327,5.87165e-05,1.1,4.64905e-07,0.00015079,6.51042e-05
11,20,3.48678e-07,0.000164221,5.86501e-05,0.75,4.18414e-07,0.000171894,5.9213e-05
11,20,3.48678e-07,0.000164221,5.86501e-05,1,4.18414e-07,0.000171864,5.91964e-05
11,20,3.48678e-07,0.000164221,5.86501e-05,1.1,4.18414e-07,0.000171852,5.91896e-05
