iteration,total_runs,obs_realization,par_realization,gdmf,gdma,gnh3
0,200,0,0,5.78548e-06,1.10902e-05,6.85977e-05
0,200,1,1,0.000122694,2.02741e-05,5.99172e-05
0,200,2,2,1.09774e-05,8.38687e-06,2.72738e-06
0,200,3,3,0.000122694,2.48701e-05,5.16033e-05
0,200,4,4,1.03257e-05,0.000105125,6.86125e-05
0,200,5,5,0.000122694,2.55724e-05,4.79201e-05
0,200,6,6,2.71686e-05,0.000124227,6.77288e-05
0,200,7,7,0.000122694,2.03861e-05,5.9087e-05
0,200,8,8,1.47739e-05,4.40734e-05,6.86125e-05
0,200,9,9,1.6476e-05,0.000112859,6.86125e-05
0,200,10,10,2.72455e-05,2.81063e-05,6.85339e-05
0,200,11,11,8.4855e-05,1.57031e-05,6.52124e-05
0,200,12,12,2.47542e-05,2.06313e-05,1.64595e-06
0,200,13,13,2.91926e-05,2.12105e-05,6.85632e-05
0,200,14,14,0.000122694,2.34177e-05,5.06422e-05
0,200,15,15,0.000122694,2.63144e-05,4.60376e-05
0,200,16,16,3.1472e-05,2.43499e-05,1.90755e-05
0,200,17,17,0.000122693,2.43863e-05,6.86117e-05
0,200,18,18,0.000122693,1.8752e-05,6.86125e-05
0,200,19,19,0.000122693,2.41342e-05,6.86118e-05
0,200,20,20,0.000122694,2.33798e-05,5.09943e-05
0,200,21,21,3.21107e-05,0.000129148,6.86125e-05
0,200,22,22,0.000122694,2.522e-05,4.79062e-05
0,200,23,23,1.87151e-05,3.97533e-05,6.86125e-05
0,200,24,24,0.000122693,1.8752e-05,6.85884e-05
0,200,25,25,2.8482e-05,2.76663e-05,3.49671e-05
0,200,26,26,1.75492e-05,0.000114078,6.86125e-05
0,200,27,27,2.21327e-05,1.94783e-05,6.85591e-05
0,200,28,28,0.000122693,2.28041e-05,6.8612e-05
0,200,29,29,3.01479e-05,2.19145e-05,3.43753e-06
0,200,30,30,1.77858e-06,7.49683e-05,6.86125e-05
0,200,31,31,0.000122693,2.64655e-05,6.86114e-05
0,200,32,32,2.48294e-05,3.22022e-05,6.85989e-05
0,200,33,33,0.000122693,1.8752e-05,6.86125e-05
0,200,34,34,0.000122693,1.8752e-05,6.86125e-05
0,200,35,35,1.47596e-05,0.000110848,6.86125e-05
0,200,36,36,0.000122693,1.8752e-05,6.86125e-05
0,200,37,37,2.60561e-05,7.91297e-05,3.81991e-05
0,200,38,38,2.76171e-05,0.000124678,6.86125e-05
0,200,39,39,3.04332e-06,2.19804e-05,6.86054e-05
0,200,40,40,0.000122694,2.11688e-05,5.7461e-05
0,200,41,41,0.000122694,2.55051e-05,6.16229e-05
0,200,42,42,0.000122693,1.8752e-05,6.86125e-05
0,200,43,43,0.000122694,2.61141e-05,4.63492e-05
0,200,44,44,1.78097e-06,7.49401e-05,6.80836e-05
0,200,45,45,3.03881e-05,2.83296e-05,6.85282e-05
0,200,46,46,6.75345e-05,2.10674e-05,6.86073e-05
0,200,47,47,0.000122693,1.8752e-05,6.86125e-05
0,200,48,48,2.50763e-05,2.61314e-05,6.85429e-05
0,200,49,49,0.000122693,2.06471e-05,6.86123e-05
0,200,50,50,0.000122693,2.28023e-05,6.8612e-05
0,200,51,51,2.31723e-05,0.000120135,6.79796e-05
0,200,52,52,3.05092e-05,0.000127568,6.86125e-05
0,200,53,53,6.82161e-06,2.13742e-05,6.86029e-05
0,200,54,54,0.000122693,2.06727e-05,6.86123e-05
0,200,55,55,2.5779e-05,2.63271e-05,3.20179e-05
0,200,56,56,0.000122694,2.52138e-05,6.04408e-05
0,200,57,57,0.000122694,2.2958e-05,5.15853e-05
0,200,58,58,0.000122694,2.37769e-05,4.98497e-05
0,200,59,59,1.88712e-05,2.35603e-05,2.76859e-05
0,200,60,60,1.8339e-05,2.36196e-05,6.8546e-05
0,200,61,61,1.59265e-05,1.11799e-05,2.41784e-06
0,200,62,62,3.20182e-05,2.08493e-05,6.85729e-05
0,200,63,63,0.000122693,1.8752e-05,6.86125e-05
0,200,64,64,7.65828e-06,4.4894e-05,2.75843e-05
0,200,65,65,1.49725e-05,3.40341e-05,1.43135e-05
0,200,66,66,2.99671e-05,2.15719e-05,6.85629e-05
0,200,67,67,0.000122694,2.39549e-05,5.15513e-05
0,200,68,68,0.000122693,1.8752e-05,6.86125e-05
0,200,69,69,0.000122693,2.44317e-05,6.86117e-05
0,200,70,70,6.61812e-06,5.76848e-06,1.34109e-06
0,200,71,71,2.79474e-05,0.00012501,6.77492e-05
0,200,72,72,0.000122694,1.96962e-05,6.36928e-05
0,200,73,73,0.000122693,2.61967e-05,6.86114e-05
0,200,74,74,0.000122693,1.8752e-05,6.85875e-05
0,200,75,75,3.23141e-05,0.000129344,6.86125e-05
0,200,76,76,3.67602e-06,8.83525e-06,6.8598e-05
0,200,77,77,3.12921e-05,2.30743e-05,1.12226e-05
0,200,78,78,0.000122693,1.8752e-05,6.86125e-05
0,200,79,79,3.13238e-05,2.76238e-05,6.85413e-05
0,200,80,80,1.1554e-05,8.49433e-06,6.85816e-05
0,200,81,81,0.000122693,1.8752e-05,6.86125e-05
0,200,82,82,3.17042e-05,2.66919e-05,2.70493e-05
0,200,83,83,0.000122693,1.8752e-05,6.86125e-05
0,200,84,84,0.000122694,2.00687e-05,6.04959e-05
0,200,85,85,0.000122693,2.43575e-05,6.86117e-05
0,200,86,86,3.47333e-06,6.56352e-05,6.86125e-05
0,200,87,87,2.25462e-06,2.91705e-05,3.27332e-05
0,200,88,88,2.93974e-05,2.4158e-05,6.85532e-05
0,200,89,89,1.89691e-05,0.000115653,6.77725e-05
0,200,90,90,2.51766e-05,2.68541e-05,3.35881e-05
0,200,91,91,1.9712e-05,2.39433e-05,2.00414e-05
0,200,92,92,3.15992e-05,0.000128647,6.86125e-05
0,200,93,93,0.000122693,1.8752e-05,6.86125e-05
0,200,94,94,2.74031e-05,0.000124462,6.7814e-05
0,200,95,95,1.85881e-05,2.13069e-05,2.20395e-05
0,200,96,96,2.39208e-05,8.34603e-05,4.49389e-05
0,200,97,97,0.000122693,2.33772e-05,6.86119e-05
0,200,98,98,0.000122693,1.8752e-05,6.85909e-05
0,200,99,99,1.96234e-05,8.75584e-05,4.90155e-05
0,200,100,100,2.90095e-05,0.000126076,6.86125e-05
0,200,101,101,2.76388e-06,4.04814e-06,6.85963e-05
0,200,102,102,2.79977e-05,2.74806e-05,3.40898e-05
0,200,103,103,0.000122693,2.11532e-05,6.86122e-05
0,200,104,104,2.91108e-06,7.21045e-06,6.85786e-05
0,200,105,105,3.13378e-05,2.83331e-05,6.85368e-05
0,200,106,106,2.37848e-05,0.00012077,6.86125e-05
0,200,107,107,0.000122693,2.62799e-05,6.86114e-05
0,200,108,108,0.000122694,2.37949e-05,5.03264e-05
0,200,109,109,3.188e-05,0.000128922,6.77073e-05
0,200,110,110,6.95179e-06,9.97878e-05,6.86125e-05
0,200,111,111,0.000122694,2.49867e-05,5.08031e-05
0,200,112,112,0.000122693,2.34344e-05,6.86119e-05
0,200,113,113,1.69093e-05,0.000113353,6.7802e-05
0,200,114,114,0.000122693,1.8752e-05,6.86125e-05
0,200,115,115,0.000122694,2.52748e-05,4.93165e-05
0,200,116,116,0.000122693,1.8752e-05,6.85935e-05
0,200,117,117,2.85361e-05,1.93529e-05,6.85786e-05
0,200,118,118,0.000122693,1.8752e-05,6.85877e-05
0,200,119,119,0.000122694,2.59503e-05,4.67081e-05
0,200,120,120,2.86007e-05,2.64498e-05,6.85925e-05
0,200,121,121,2.34433e-05,0.000120416,6.86125e-05
0,200,122,122,2.4535e-05,0.000121544,6.77985e-05
0,200,123,123,2.93637e-05,2.84543e-05,6.85334e-05
0,200,124,124,2.46868e-05,0.000121701,6.774e-05
0,200,125,125,0.000122694,2.57584e-05,4.72196e-05
